File: testdata6.txt
Lines: 808, Words: 5035, Characters: 36823
Word Frequencies:
p: 1
vergili: 1
maronis: 1
aeneidos: 1
liber: 1
primvs: 1
arma: 1
virumque: 1
canō: 1
trōiae: 1
quī: 1
prīmus: 1
ab: 1
ōrīs: 1
ītaliam: 1
fātō: 1
profugus: 1
lāvīniaque: 1
vēnit: 1
lītora: 1
multum: 1
ille: 1
et: 1
terrīs: 1
iactātus: 1
altō: 1
vī: 1
superum: 1
saevae: 1
memorem: 1
iūnōnis: 1
ob: 1
īram: 1
multa: 1
quoque: 1
bellō: 1
passus: 1
dum: 1
conderet: 1
urbem: 1
5: 1
inferretque: 1
deōs: 1
latiō: 1
genus: 1
unde: 1
latīnum: 1
albānīque: 1
patrēs: 1
atque: 1
altae: 1
moenia: 1
rōmae: 1
mūsa: 1
mihī: 1
causās: 1
memorā: 1
quō: 1
nūmine: 1
laesō: 1
quidve: 1
dolēns: 1
rēgīna: 1
deum: 1
tot: 1
volvere: 1
cāsūs: 1
īnsīgnem: 1
pietāte: 1
virum: 1
adīre: 1
labōrēs: 1
10: 1
impulerit: 1
tantaene: 1
animīs: 1
caelestibus: 1
īrae: 1
urbs: 1
antīqua: 1
fuit: 1
tyriī: 1
tenuēre: 1
colōnī: 1
karthāgō: 1
contrā: 1
tiberīnaque: 1
longē: 1
ōstia: 1
dīves: 1
opum: 1
studiīsque: 1
asperrima: 1
bellī: 1
quam: 1
iūnō: 1
fertur: 1
magis: 1
omnibus: 1
ūnam: 1
15: 1
posthabitā: 1
coluisse: 1
samō: 1
hīc: 1
illius: 1
currus: 1
hōc: 1
rēgnum: 1
dea: 1
gentibus: 1
esse: 1
sī: 1
quā: 1
fāta: 1
sinant: 1
iam: 1
tum: 1
tenditque: 1
fovetque: 1
prōgeniem: 1
sed: 1
enim: 1
trōiānō: 1
ā: 1
sanguine: 1
dūcī: 1
audierat: 1
tyriās: 1
olim: 1
quae: 1
verteret: 1
arcēs: 1
20: 1
hinc: 1
populum: 1
lātē: 1
regem: 1
bellōque: 1
superbum: 1
ventūrum: 1
excidiō: 1
libyae: 1
sīc: 1
parcās: 1
id: 1
metuēns: 1
veterisque: 1
memor: 1
sāturnia: 1
prīma: 1
quod: 1
ad: 1
trōiam: 1
prō: 1
cārīs: 1
gesserat: 1
argīs—: 1
necdum: 1
etiam: 1
causae: 1
īrārum: 1
saevīque: 1
dolōrēs: 1
25: 1
exciderant: 1
animō: 1
manet: 1
altā: 1
mente: 1
repostum: 1
iūdicium: 1
paridis: 1
sprētaeque: 1
iniūria: 1
fōrmae: 1
invīsum: 1
raptī: 1
ganymēdis: 1
honōrēs: 1
hīs: 1
accēnsa: 1
super: 1
iactātōs: 1
aequore: 1
tōtō: 1
trōas: 1
rēliquiās: 1
danaum: 1
immītis: 1
achillī: 1
30: 1
arcēbat: 1
multōsque: 1
per: 1
annōs: 1
errābant: 1
āctī: 1
fātīs: 1
maria: 1
omnia: 1
circum: 1
tantae: 1
mōlis: 1
erat: 1
rōmānam: 1
condere: 1
gentem: 1
vix: 1
e: 1
conspectu: 1
siculae: 1
telluris: 1
in: 1
altum: 1
vela: 1
dabant: 1
laeti: 1
spumas: 1
salis: 1
aere: 1
ruebant: 1
35: 1
cum: 1
iuno: 1
aeternum: 1
servans: 1
sub: 1
pectore: 1
volnus: 1
haec: 1
secum: 1
mene: 1
incepto: 1
desistere: 1
victam: 1
nec: 1
posse: 1
italia: 1
teucrorum: 1
avertere: 1
quippe: 1
vetor: 1
fatis: 1
pallasne: 1
exurere: 1
classem: 1
argivom: 1
ipsos: 1
potuit: 1
submergere: 1
ponto: 1
40: 1
unius: 1
noxam: 1
furias: 1
aiacis: 1
oilei: 1
ipsa: 1
iovis: 1
rapidum: 1
iaculata: 1
nubibus: 1
ignem: 1
disiecitque: 1
rates: 1
evertitque: 1
aequora: 1
ventis: 1
illum: 1
expirantem: 1
transfixo: 1
flammas: 1
turbine: 1
corripuit: 1
scopuloque: 1
infixit: 1
acuto: 1
45: 1
ast: 1
ego: 1
divom: 1
incedo: 1
regina: 1
iovisque: 1
soror: 1
coniunx: 1
una: 1
gente: 1
annos: 1
bella: 1
gero: 1
quisquam: 1
numen: 1
iunonis: 1
adoret: 1
praeterea: 1
aut: 1
supplex: 1
aris: 1
imponet: 1
honorem: 1
talia: 1
flammato: 1
corde: 1
volutans: 1
50: 1
nimborum: 1
patriam: 1
loca: 1
feta: 1
furentibus: 1
